parameter_name,parameter_number,preset_name,parameter_value,mean,std
free_ad_attack,41,GatedPad,0.6440000534057617,0.6440000534057617,0.06440000534057617
free_ad_decay,42,GatedPad,0.5920000076293945,0.5920000076293945,0.05920000076293945
free_ad_amount,43,GatedPad,0.940000057220459,0.940000057220459,0.09400000572204589
free_ad_destination,44,GatedPad,0.4000000059604645,0.4000000059604645,0.04000000059604645
lfo_1_sync,45,GatedPad,0.0,0.0,0.0
lfo_1_keytrigger,46,GatedPad,0.0,0.0,0.0
lfo_2_sync,47,GatedPad,1.0,1.0,0.1
lfo_2_keytrigger,48,GatedPad,1.0,1.0,0.1
portamento_amount,49,GatedPad,0.5600000023841858,0.5600000023841858,0.05600000023841858
portamento_mode,50,GatedPad,1.0,1.0,0.1
voices,51,GatedPad,0.4000000059604645,0.4000000059604645,0.04000000059604645
velocity_volume,52,GatedPad,0.0,0.0,0.0
velocity_contour,53,GatedPad,0.0,0.0,0.0
velocity_filter,54,GatedPad,0.0,0.0,0.0
pitchwheel_cutoff,55,GatedPad,0.0,0.0,0.0
pitchwheel_pitch,56,GatedPad,1.0,1.0,0.1
ringmodulation,57,GatedPad,0.6800000071525574,0.6800000071525574,0.06800000071525573
chorus_1_enable,58,GatedPad,1.0,1.0,0.1
chorus_2_enable,59,GatedPad,0.0,0.0,0.0
reverb_wet,60,GatedPad,0.0,0.0,0.0
reverb_decay,61,GatedPad,0.7440000176429749,0.7440000176429749,0.07440000176429748
reverb_pre_delay,62,GatedPad,0.0,0.0,0.0
reverb_high_cut,63,GatedPad,0.0,0.0,0.0
reverb_low_cut,64,GatedPad,1.0,1.0,0.1
osc_bitcrusher,65,GatedPad,1.0,1.0,0.1
master_high_pass,66,GatedPad,0.0,0.0,0.0
master_detune,67,GatedPad,0.40800002217292786,0.40800002217292786,0.04080000221729278
vintage_noise,68,GatedPad,0.0,0.0,0.0
panic,69,GatedPad,0.0,0.0,0.0
midi_learn,70,GatedPad,0.0,0.0,0.0
envelope_destination,71,GatedPad,0.0,0.0,0.0
envelope_speed,72,GatedPad,0.0,0.0,0.0
envelope_amount,73,GatedPad,0.0,0.0,0.0
envelope_one_shot_mode,74,GatedPad,0.0,0.0,0.0
envelope_fix_tempo,75,GatedPad,0.0,0.0,0.0
envelope_reset,76,GatedPad,0.0,0.0,0.0
filter_drive,77,GatedPad,0.0,0.0,0.0
delay_wet,78,GatedPad,0.3440000116825104,0.3440000116825104,0.03440000116825104
delay_time,79,GatedPad,0.12400000542402267,0.12400000542402267,0.012400000542402267
delay_sync,80,GatedPad,1.0,1.0,0.1
delay_x2_l,81,GatedPad,0.0,0.0,0.0
delay_x2_r,82,GatedPad,0.0,0.0,0.0
delay_high_shelf,83,GatedPad,0.0,0.0,0.0
delay_low_shelf,84,GatedPad,0.0,0.0,0.0
delay_feedback,85,GatedPad,0.1120000034570694,0.1120000034570694,0.01120000034570694
midi_clear,86,GatedPad,0.0,0.0,0.0
midi_lock,87,GatedPad,0.0,0.0,0.0
-,0,FloatingPad,0.5,0.5,0.05
master_volume,1,FloatingPad,0.2840000092983246,0.2840000092983246,0.02840000092983246
filter_type,2,FloatingPad,0.4545454680919647,0.4545454680919647,0.04545454680919647
filter_cutoff,3,FloatingPad,0.25200000405311584,0.25200000405311584,0.025200000405311583
filter_resonance,4,FloatingPad,0.47600001096725464,0.47600001096725464,0.047600001096725464
fitler_keyfollow,5,FloatingPad,0.7480000257492065,0.7480000257492065,0.07480000257492066
filter_contour,6,FloatingPad,0.7200000286102295,0.7200000286102295,0.07200000286102295
filter_attack,7,FloatingPad,0.41200003027915955,0.41200003027915955,0.04120000302791595
filter_decay,8,FloatingPad,0.7160000205039978,0.7160000205039978,0.07160000205039978
filter_sustain,9,FloatingPad,0.29600000381469727,0.29600000381469727,0.029600000381469725
filter_release,10,FloatingPad,0.7360000610351562,0.7360000610351562,0.07360000610351562
amp_attack,11,FloatingPad,0.5080000162124634,0.5080000162124634,0.050800001621246337
amp_decay,12,FloatingPad,0.0,0.0,0.0
amp_sustain,13,FloatingPad,1.0,1.0,0.1
amp_release,14,FloatingPad,0.6720000505447388,0.6720000505447388,0.06720000505447388
osc_1_volume,15,FloatingPad,0.7160000205039978,0.7160000205039978,0.07160000205039978
osc_2_volume,16,FloatingPad,0.7320000529289246,0.7320000529289246,0.07320000529289246
osc_3_volume,17,FloatingPad,0.12800000607967377,0.12800000607967377,0.012800000607967377
osc_mastertune,18,FloatingPad,0.5,0.5,0.05
osc_1_tune,19,FloatingPad,0.25,0.25,0.025
osc_2_tune,20,FloatingPad,0.8440000414848328,0.8440000414848328,0.08440000414848328
osc_1_fine_tune,21,FloatingPad,0.3840000033378601,0.3840000033378601,0.03840000033378601
osc_2_fine_tune,22,FloatingPad,0.5920000076293945,0.5920000076293945,0.05920000076293945
osc_1_waveform,23,FloatingPad,0.0,0.0,0.0
osc_1_waveform,24,FloatingPad,0.0,0.0,0.0
osc_sync,25,FloatingPad,1.0,1.0,0.1
lfo_1_waveform,26,FloatingPad,0.3360000252723694,0.3360000252723694,0.03360000252723694
lfo_2_waveform,27,FloatingPad,0.7240000367164612,0.7240000367164612,0.07240000367164612
lfo_1_rate,28,FloatingPad,0.20800000429153442,0.20800000429153442,0.02080000042915344
lfo_2_rate,29,FloatingPad,0.46800002455711365,0.46800002455711365,0.046800002455711365
lfo_1_amount,30,FloatingPad,0.6040000319480896,0.6040000319480896,0.06040000319480896
lfo_2_amount,31,FloatingPad,0.8160000443458557,0.8160000443458557,0.08160000443458557
lfo_1_destination,32,FloatingPad,0.2857142984867096,0.2857142984867096,0.02857142984867096
lfo_2_destination,33,FloatingPad,0.4285714328289032,0.4285714328289032,0.04285714328289032
lfo_1_phase,34,FloatingPad,0.0,0.0,0.0
lfo_2_phase,35,FloatingPad,0.0,0.0,0.0
osc_2_fm,36,FloatingPad,0.0,0.0,0.0
osc_2_phase,37,FloatingPad,0.0,0.0,0.0
osc_2_pw,38,FloatingPad,0.5,0.5,0.05
osc_2_phase,39,FloatingPad,0.0,0.0,0.0
transpose,40,FloatingPad,1.0,1.0,0.1
free_ad_attack,41,FloatingPad,0.5640000104904175,0.5640000104904175,0.05640000104904175
free_ad_decay,42,FloatingPad,0.6360000371932983,0.6360000371932983,0.06360000371932983
free_ad_amount,43,FloatingPad,0.8040000200271606,0.8040000200271606,0.08040000200271606
free_ad_destination,44,FloatingPad,0.4000000059604645,0.4000000059604645,0.04000000059604645
lfo_1_sync,45,FloatingPad,0.0,0.0,0.0
lfo_1_keytrigger,46,FloatingPad,0.0,0.0,0.0
lfo_2_sync,47,FloatingPad,1.0,1.0,0.1
lfo_2_keytrigger,48,FloatingPad,1.0,1.0,0.1
portamento_amount,49,FloatingPad,0.5680000185966492,0.5680000185966492,0.05680000185966492
portamento_mode,50,FloatingPad,1.0,1.0,0.1
voices,51,FloatingPad,0.4000000059604645,0.4000000059604645,0.04000000059604645
velocity_volume,52,FloatingPad,0.0,0.0,0.0
velocity_contour,53,FloatingPad,0.0,0.0,0.0
velocity_filter,54,FloatingPad,0.0,0.0,0.0
pitchwheel_cutoff,55,FloatingPad,0.0,0.0,0.0
pitchwheel_pitch,56,FloatingPad,0.1680000126361847,0.1680000126361847,0.01680000126361847
ringmodulation,57,FloatingPad,0.8760000467300415,0.8760000467300415,0.08760000467300415
chorus_1_enable,58,FloatingPad,0.0,0.0,0.0
chorus_2_enable,59,FloatingPad,0.0,0.0,0.0
reverb_wet,60,FloatingPad,0.0,0.0,0.0
reverb_decay,61,FloatingPad,0.7000000476837158,0.7000000476837158,0.07000000476837158
reverb_pre_delay,62,FloatingPad,0.0,0.0,0.0
reverb_high_cut,63,FloatingPad,0.0,0.0,0.0
reverb_low_cut,64,FloatingPad,1.0,1.0,0.1
osc_bitcrusher,65,FloatingPad,1.0,1.0,0.1
master_high_pass,66,FloatingPad,0.5360000133514404,0.5360000133514404,0.053600001335144046
master_detune,67,FloatingPad,0.4000000059604645,0.4000000059604645,0.04000000059604645
vintage_noise,68,FloatingPad,0.0,0.0,0.0
panic,69,FloatingPad,0.0,0.0,0.0
midi_learn,70,FloatingPad,0.0,0.0,0.0
envelope_destination,71,FloatingPad,0.0,0.0,0.0
envelope_speed,72,FloatingPad,0.0,0.0,0.0
envelope_amount,73,FloatingPad,0.0,0.0,0.0
envelope_one_shot_mode,74,FloatingPad,0.0,0.0,0.0
envelope_fix_tempo,75,FloatingPad,0.0,0.0,0.0
envelope_reset,76,FloatingPad,0.0,0.0,0.0
filter_drive,77,FloatingPad,0.0,0.0,0.0
delay_wet,78,FloatingPad,0.5800000429153442,0.5800000429153442,0.05800000429153442
delay_time,79,FloatingPad,0.4000000059604645,0.4000000059604645,0.04000000059604645
delay_sync,80,FloatingPad,0.0,0.0,0.0
delay_x2_l,81,FloatingPad,1.0,1.0,0.1
delay_x2_r,82,FloatingPad,0.0,0.0,0.0
delay_high_shelf,83,FloatingPad,0.0,0.0,0.0
delay_low_shelf,84,FloatingPad,0.0,0.0,0.0
delay_feedback,85,FloatingPad,0.18800000846385956,0.18800000846385956,0.018800000846385955
midi_clear,86,FloatingPad,0.0,0.0,0.0
midi_lock,87,FloatingPad,0.0,0.0,0.0
-,0,FantasyPad,0.5,0.5,0.05
master_volume,1,FantasyPad,0.3240000009536743,0.3240000009536743,0.032400000095367434
filter_type,2,FantasyPad,0.27272728085517883,0.27272728085517883,0.027272728085517884
filter_cutoff,3,FantasyPad,0.3760000169277191,0.3760000169277191,0.03760000169277191
filter_resonance,4,FantasyPad,0.0,0.0,0.0
fitler_keyfollow,5,FantasyPad,1.0,1.0,0.1
filter_contour,6,FantasyPad,0.5,0.5,0.05
filter_attack,7,FantasyPad,0.0,0.0,0.0
filter_decay,8,FantasyPad,0.5440000295639038,0.5440000295639038,0.05440000295639038
filter_sustain,9,FantasyPad,1.0,1.0,0.1
filter_release,10,FantasyPad,0.48000001907348633,0.48000001907348633,0.048000001907348634
amp_attack,11,FantasyPad,0.5480000376701355,0.5480000376701355,0.05480000376701355
amp_decay,12,FantasyPad,0.0,0.0,0.0
amp_sustain,13,FantasyPad,1.0,1.0,0.1
amp_release,14,FantasyPad,0.0,0.0,0.0
osc_1_volume,15,FantasyPad,0.800000011920929,0.800000011920929,0.0800000011920929
osc_2_volume,16,FantasyPad,0.6240000128746033,0.6240000128746033,0.06240000128746033
osc_3_volume,17,FantasyPad,0.4000000059604645,0.4000000059604645,0.04000000059604645
osc_mastertune,18,FantasyPad,0.5,0.5,0.05
osc_1_tune,19,FantasyPad,0.25,0.25,0.025
osc_2_tune,20,FantasyPad,1.0,1.0,0.1
osc_1_fine_tune,21,FantasyPad,0.5560000538825989,0.5560000538825989,0.05560000538825989
osc_2_fine_tune,22,FantasyPad,0.527999997138977,0.527999997138977,0.052799999713897705
osc_1_waveform,23,FantasyPad,0.5,0.5,0.05
osc_1_waveform,24,FantasyPad,0.25,0.25,0.025
osc_sync,25,FantasyPad,0.0,0.0,0.0
lfo_1_waveform,26,FantasyPad,0.0,0.0,0.0
lfo_2_waveform,27,FantasyPad,0.0,0.0,0.0
lfo_1_rate,28,FantasyPad,0.328000009059906,0.328000009059906,0.0328000009059906
lfo_2_rate,29,FantasyPad,0.0,0.0,0.0
lfo_1_amount,30,FantasyPad,0.7440000176429749,0.7440000176429749,0.07440000176429748
lfo_2_amount,31,FantasyPad,0.5,0.5,0.05
lfo_1_destination,32,FantasyPad,0.5714285969734192,0.5714285969734192,0.05714285969734192
